Date,Close,High,Low,Open,Volume
2021-12-24,745.164306640625,852.7443191225166,734.159538148531,844.8978749714743,13492548
2021-12-27,696.555908203125,732.0375850048,693.2001772875741,728.8792606560507,2137929
2021-12-28,725.030029296875,738.2554858941983,692.8547474568545,696.5558946120727,1586404
2021-12-29,776.9942016601562,813.2654457516275,730.5571515447954,738.2555259978366,5408945
2021-12-30,768.1608276367188,803.3957644910269,761.9922483639068,782.1265152063777,1904086
2021-12-31,750.0005493164062,782.7186568900561,746.2500050119493,773.5398231892142,980471
2022-01-03,763.47265625,772.7008863680151,747.779827775132,754.0470798004993,773259
2022-01-04,748.4706420898438,773.6384432209037,743.4371059596424,768.3581639423586,448706
2022-01-05,762.2883911132812,778.7215117500285,730.8533326373843,750.0993015589629,953044
2022-01-06,751.431640625,763.9168693689686,748.322712765774,750.0499149897994,276248
2022-01-07,731.0013427734375,758.9819942792677,729.619556919309,756.7119691532268,425068
2022-01-10,749.704345703125,764.8050743294882,732.2843158558887,737.1698421620634,561329
2022-01-11,753.3562622070312,772.3061504055644,738.9958212347174,749.1122915754931,564979
2022-01-12,744.1279907226562,766.4828835752332,740.2294369732587,759.9688886258789,232552
2022-01-13,736.2816162109375,750.0992336733411,733.7648479354345,750.0992336733411,189888
2022-01-14,728.9779663085938,754.4419085602418,725.4742254918062,738.255533201523,322468
2022-01-17,803.79052734375,823.135166636314,732.7778351524796,740.229466399563,2841269
2022-01-18,769.887939453125,813.7588821391984,762.4856451947333,810.9460344170194,823370
2022-01-19,784.7418823242188,801.7178229226301,746.5460912778258,769.8386203091168,812554
2022-01-20,773.1449584960938,795.4999118774956,765.3972477183596,781.6822955421545,381920
2022-01-21,748.8654174804688,793.5259250797982,738.8476220665988,773.7864742071664,529262
2022-01-24,711.0645141601562,755.0341371584346,696.8027461880456,745.1644098753178,471275
2022-01-25,726.3131713867188,747.6317557721308,696.4078529638113,708.6463374843431,298283
2022-01-27,708.3009643554688,729.2741337005722,705.6854626705374,712.5942713959832,185855
2022-01-28,731.692138671875,766.8284006127991,714.5681875550683,716.5421328245575,771322
2022-01-31,712.3967895507812,745.1642909491322,701.7868344147506,739.1437823633016,275063
2022-02-01,723.0560913085938,738.2554932059021,716.5420963469049,718.1212283860945,201773
2022-02-02,711.4591674804688,744.0292629539013,704.0568730546886,728.2870983337632,429933
2022-02-03,727.4974975585938,734.2089595984679,713.4331376568462,714.5681802712442,251681
2022-02-04,721.5263061523438,734.4062865159581,718.9602014920165,730.3103863758192,125290
2022-02-07,705.0439453125,727.5963083284807,700.306488258301,715.6539021559822,193955
2022-02-08,694.8287353515625,716.9862830652538,685.7979116412515,709.633324883201,161360
2022-02-09,708.9424438476562,720.4406993388853,691.0782629433738,708.4489575216812,365106
2022-02-10,709.4359130859375,721.8718043449904,704.6984565186915,715.5551554286434,128661
2022-02-11,703.9581909179688,716.5420912813814,700.8492032027625,701.737502618543,215967
2022-02-14,641.58154296875,702.7245091484194,630.7248440914569,681.5045977064376,368995
2022-02-15,670.450439453125,676.0761950217486,622.0394480473826,643.6047741137457,470238
2022-02-16,668.7233276367188,686.9329856402755,662.5054117974639,686.9329856402755,117711
2022-02-17,655.9420166015625,675.9282132975087,651.4019663863971,671.1414199132577,113764
2022-02-18,640.6438598632812,664.0351214103389,636.6466330728404,651.4018847837498,111159
2022-02-21,612.4659423828125,638.4233142708788,603.0403644464282,631.6625748702357,180059
2022-02-22,589.8148193359375,600.9676582421188,576.638758827169,600.9676582421188,291970
2022-02-23,606.9882202148438,616.6605407816426,596.1315203410824,596.1315203410824,117971
2022-02-24,577.724365234375,586.4591085545645,567.5092233107906,570.7662207183084,214539
2022-02-25,599.980712890625,611.4295718181648,589.8642429775722,592.1342680807876,164327
2022-02-28,605.5570678710938,615.8216077052833,583.5475894420468,590.2096549451907,195975
2022-03-02,653.820068359375,660.0873208239738,596.0821661868109,602.0533388934031,431871
2022-03-03,632.4026489257812,670.8452410372414,626.9743000079634,665.5155652764656,184980
2022-03-04,614.7852783203125,637.5843220884547,606.9881704092872,629.6885410099599,162100
2022-03-07,612.021728515625,625.1978498029517,596.7236521320089,606.0012193251821,165831
2022-03-08,634.4259643554688,641.9763287120369,612.0216746715599,619.8681187550468,230165
2022-03-09,703.81005859375,710.6201928714428,634.6233111338023,634.6233111338023,463408
2022-03-10,661.8145751953125,725.6223885170086,656.5342950011897,710.6203904484233,448415
2022-03-11,654.6588745117188,679.0371083266842,648.2928895731515,661.2716025855792,286572
2022-03-14,646.76318359375,666.9961234848778,640.4959311869011,659.2977486474794,181529
2022-03-15,654.708251953125,671.7829261731108,647.454027418758,651.4019178298479,229276
2022-03-16,665.2195434570312,683.9226865859133,657.6691788455212,666.107842907807,149355
2022-03-17,662.3079223632812,675.9775284224978,651.5005608155318,674.052919888237,184809
2022-03-21,668.2791137695312,685.6498674241561,662.3572782545508,666.2064954352985,154264
2022-03-22,656.4849243164062,673.8062833859939,652.5370334633933,673.8062833859939,130825
2022-03-23,655.6459350585938,669.1674727356236,648.5397197602977,665.2195820410182,195562
2022-03-24,672.621826171875,677.3592825987413,651.4512518767872,656.1887083036534,253588
2022-03-25,664.03515625,683.8733417441796,661.2716450054453,672.6218299570313,133463
2022-03-28,666.1571655273438,670.79594877522,656.8302624498107,666.2065021091242,137356
2022-03-29,703.61279296875,711.6072469592439,666.5519235238579,667.2428163941538,488207
2022-03-30,714.07470703125,730.7051719656135,704.0075740271712,712.5942480671216,276393
2022-03-31,693.7430419921875,723.5002287668947,689.3016654371544,718.0225430636921,186195
2022-04-01,736.775146484375,740.2295510559695,695.8157779926113,695.8157779926113,319823
2022-04-04,747.385009765625,761.7947857918697,737.2685405017126,745.0656482255195,353926
2022-04-05,757.8963012695312,777.6850903119398,734.4557014741529,753.7510042050798,385137
2022-04-06,768.4569091796875,777.1916535943078,747.8785527737759,753.257565960175,316334
2022-04-07,801.076416015625,809.2189407902653,764.7064358782119,768.8517332660354,801244
2022-04-08,810.501953125,840.9006987306367,791.7001361696977,809.3175738956832,606100
2022-04-11,860.4920654296875,886.301423861992,804.5801019503397,811.2915038024024,1497070
2022-04-12,866.4138793945312,910.6796369847524,851.3132105478448,864.5386675843048,1242955
2022-04-13,867.3515014648438,899.1320309629101,861.7751424662246,874.9512024682983,368147
2022-04-18,903.0799560546876,915.417113924287,844.4044211788663,860.146646668481,774908
2022-04-19,869.8682861328125,922.6219842098992,852.546928867247,912.9496646753976,436696
2022-04-20,854.274169921875,896.1711711959471,846.8225384208398,870.5098821528912,230060
2022-04-21,865.7230834960938,880.3302666588513,856.6922596582922,862.3180158077408,153985
2022-04-22,845.243408203125,887.2884193277608,840.5552880787569,862.6141028837186,239321
2022-04-25,836.4593505859375,860.6401813698378,824.1221920227231,842.7759998663162,258567
2022-04-26,807.1461791992188,856.248065986391,801.8658998919858,848.3029486145624,224421
2022-04-27,807.1461791992188,826.0467285610455,796.9803734802317,802.3593861913545,242963
2022-04-28,827.1817626953125,836.8047461354931,804.9748778333571,814.2524449383641,214696
2022-04-29,787.5054321289062,833.0048431880743,772.5034371230118,833.0048431880743,141658
2022-05-02,767.86474609375,778.6721090025875,756.810640014574,769.838691456459,144202
2022-05-04,733.6661376953125,781.7810571643744,725.6716828641587,763.9168752626438,129796
2022-05-05,749.1615600585938,761.202638149285,733.7648111819907,740.3281430038637,118639
2022-05-06,708.1528930664062,745.1643683137794,703.4647728684057,735.3933147524604,213138
2022-05-09,706.4256591796875,723.8950867603239,695.8157034183439,698.1844618238646,169746
2022-05-10,682.3929443359375,722.3653384199944,672.3751474015744,705.6854758049551,149494
2022-05-11,666.5025634765625,699.7635510838418,641.5321695408986,687.8212071007058,185445
2022-05-12,653.2278442382812,678.7904607492795,641.5322420749279,656.2381591046582,169525
2022-05-13,680.2708740234375,693.8910840451069,653.5732768696528,671.1413773463004,202085
2022-05-16,698.3817749023438,705.0438398306068,675.1879192261689,684.0213358827598,108019
2022-05-17,711.75537109375,716.3940944900064,689.1043360774319,704.6984923474789,128485
2022-05-18,723.8950805664062,732.4817544129122,700.8492337333108,715.5551498750295,135196
2022-05-19,694.8780517578125,712.396815528217,691.8677973551287,710.521603719345,73200
2022-05-20,725.572998046875,734.3076822681647,703.3167156678234,703.3167156678234,135980
2022-05-23,748.3720092773438,757.9456559972788,715.8019119398531,738.2555396497899,240616
2022-05-24,704.747802734375,757.0080161586529,700.898645575891,740.2294812503125,168643
2022-05-25,709.2879028320312,719.305638856901,689.9432031894738,707.6593739006836,139463
2022-05-26,717.3317260742188,731.1986800699897,681.0111437869225,711.6072966237263,263805
