Date,Close,High,Low,Open,Volume
2026-07-24,585.0999755859375,600.0,554.7000122070312,574.9500122070312,41600
2026-07-27,591.9000244140625,600.0,577.0,584.0,28800
2026-07-29,604.0,616.5,589.0999755859375,615.9500122070312,18800
2026-07-31,657.5999755859375,662.0,595.0499877929688,603.9000244140625,105200
2026-08-03,696.2999877929688,702.0,665.0,665.0,113600
2026-08-05,691.75,703.0,686.0999755859375,692.0499877929688,73200
2026-08-07,749.0,809.5499877929688,720.0999755859375,743.9500122070312,202400
2026-08-10,782.9000244140625,805.0,753.0,753.0,88800
2026-08-12,789.9500122070312,800.0,742.0499877929688,765.0,90400
2026-08-14,852.0,921.0,802.0,820.0,283600
2026-08-17,860.1500244140625,900.0,855.0,872.0,86800
2026-08-19,840.5999755859375,852.9500122070312,830.0499877929688,852.9500122070312,34800
2026-08-21,835.2000122070312,858.7999877929688,808.0,855.0,57200
2026-08-24,854.7999877929688,859.9500122070312,821.9000244140625,830.0,33200
2026-08-26,856.0499877929688,866.0499877929688,845.0,863.7000122070312,36400
2026-08-28,866.0499877929688,868.7000122070312,836.0,852.0,28400
2026-08-31,869.9000244140625,884.0,853.4000244140625,866.0499877929688,36000
2026-09-02,848.0499877929688,871.9500122070312,840.0,843.0499877929688,30800
2026-09-04,835.75,856.9500122070312,833.1500244140625,848.0499877929688,26400
2026-09-07,838.25,850.25,774.0,842.0,84800
2026-09-09,986.25,998.0,848.2999877929688,879.0,214400
2026-09-11,958.6500244140624,976.7000122070312,922.1500244140624,949.0,50400
2026-09-15,926.7000122070312,974.6500244140624,922.5499877929688,966.0499877929688,40000
2026-09-17,899.25,912.5499877929688,870.0,881.0,35600
2026-09-21,894.7999877929688,925.5999755859375,890.3499755859375,925.5999755859375,28800
