Date,Close,High,Low,Open,Volume
2021-07-27,1522.9012451171875,1563.29556138912,1510.3351327618325,1563.29556138912,707344
2021-07-28,1491.5582275390625,1532.0248323985363,1483.3012624188843,1521.4086504271909,422818
2021-07-29,1503.594482421875,1530.4839792770338,1487.7063562867736,1504.5573991573358,313408
2021-07-30,1513.3203125,1539.704261439257,1487.1770928073722,1515.149878283096,304536
2021-08-02,1510.407470703125,1536.8637090405373,1498.9006596890558,1528.5585500010652,155992
2021-08-03,1475.958740234375,1525.2359310113416,1461.3705289632471,1523.3341940691732,245000
2021-08-04,1472.61279296875,1500.970765273511,1435.660858138371,1486.2621865977876,810660
2021-08-05,1485.2991943359375,1531.013646840904,1471.023999501801,1484.336277516271,915082
2021-08-06,1501.3797607421875,1514.186600629799,1493.6283513732012,1494.1819814911469,455188
2021-08-09,1507.2296142578125,1520.9752750557816,1499.9354489879931,1511.0571850205413,356204
2021-08-10,1521.67333984375,1538.2595578903831,1505.6407519288582,1512.2608047992785,602514
2021-08-11,1490.3787841796875,1533.8545073503644,1485.2993738333903,1524.7789682108098,575418
2021-08-12,1524.9954833984375,1530.0748933529885,1491.871119844827,1497.8412749139402,259504
2021-08-13,1504.2930908203125,1534.8898041194282,1493.0029117234462,1532.626972521696,287386
2021-08-16,1499.237548828125,1521.4087344319628,1473.9609796643028,1511.7795652266973,353788
2021-08-17,1546.3963623046875,1573.406228607575,1499.7671815332017,1499.7671815332017,1026918
2021-08-18,1547.6241455078125,1567.1473098504548,1540.667094169418,1558.9866123447405,414474
2021-08-20,1531.8564453125,1563.777166524596,1517.6534199392008,1563.777166524596,433050
2021-08-23,1547.599853515625,1552.7033596375927,1522.371480053975,1532.0006481757582,447412
2021-08-24,1547.9853515625,1582.5299990685212,1535.8526208251983,1544.518873858068,550334
2021-08-25,1553.353515625,1576.776422176702,1543.3391563662788,1557.0366257463982,406620
2021-08-26,1547.5762939453125,1562.044028933474,1531.0381461977229,1558.481282780512,267792
2021-08-27,1566.425048828125,1571.9618209386283,1537.0319872893035,1547.575997747619,405546
2021-08-30,1600.05517578125,1606.891863069906,1574.369317422987,1574.369317422987,726446
2021-08-31,1599.42919921875,1617.1468951484492,1583.9984311151288,1606.89180580911,405876
2021-09-01,1604.7252197265625,1668.25364302811,1593.6275781884688,1622.5150871586525,597098
2021-09-02,1628.74951171875,1644.180275440598,1598.9231902600957,1613.3669408496175,293988
2021-09-03,1656.866943359375,1668.2533877184433,1622.9962972579715,1636.9585911234365,822686
2021-09-06,1700.3665771484375,1709.1772892184713,1654.1224751525624,1669.6977011294814,609896
2021-09-07,1691.8690185546875,1722.658261628178,1681.2528366700942,1709.1774255953137,404206
2021-09-08,1667.194580078125,1701.9558615781618,1661.9948045736392,1695.6969008425135,338078
2021-09-09,1682.93798828125,1697.1410123562885,1668.3016986247385,1668.7108677753374,258832
2021-09-13,1727.328369140625,1757.323252549009,1687.8728746914217,1687.8728746914217,538688
2021-09-14,1727.2801513671875,1747.9587655220469,1718.806436762367,1738.522134145931,344584
