symbol,kind,yf_ticker,last_date,rows,action,updated_at
SANSERA,equity,SANSERA.NS,2026-07-29,1200,+2 rows,2026-07-29 14:33:59.977053
SEDEMAC,equity,SEDEMAC.NS,2026-07-29,97,+2 rows,2026-07-29 14:34:01.227877
SGMART,equity,SGMART.NS,2026-07-29,218,+2 rows,2026-07-29 14:34:02.417719
SHILCTECH,equity,SHILCTECH.NS,2026-07-29,171,+2 rows,2026-07-29 14:34:03.637502
SBCL,equity,SBCL.NS,2026-07-29,1240,+2 rows,2026-07-29 14:34:04.862303
SJS,equity,SJS.NS,2026-07-29,1165,+2 rows,2026-07-29 14:34:06.072577
SKIPPER,equity,SKIPPER.NS,2026-07-29,1240,+2 rows,2026-07-29 14:34:07.346142
SKYGOLD,equity,SKYGOLD.NS,2026-07-29,880,+2 rows,2026-07-29 14:34:08.518492
SONACOMS,equity,SONACOMS.NS,2026-07-29,1241,+2 rows,2026-07-29 14:34:09.779865
STLTECH,equity,STLTECH.NS,2026-07-29,1241,+2 rows,2026-07-29 14:34:11.242160
SYRMA,equity,SYRMA.NS,2026-07-29,971,+2 rows,2026-07-29 14:34:12.459948
TARIL,equity,TARIL.NS,2026-07-29,1241,+2 rows,2026-07-29 14:34:13.729624
TAC,equity,TAC.NS,2026-07-28,572,+1 rows,2026-07-29 14:34:14.953771
TDPOWERSYS,equity,TDPOWERSYS.NS,2026-07-29,1241,+2 rows,2026-07-29 14:34:16.209236
TECHNOE,equity,TECHNOE.NS,2026-07-29,1241,+2 rows,2026-07-29 14:34:17.530517
THYROCARE,equity,THYROCARE.NS,2026-07-29,1241,+2 rows,2026-07-29 14:34:18.906941
